title,release_year,revenue,vote_average,popularity,genres_str
Avatar,2009,2787965087,7.2,150.437577,"Action, Adventure, Fantasy, Science Fiction"
Titanic,1997,1845034188,7.5,100.025899,"Drama, Romance, Thriller"
The Avengers,2012,1519557910,7.4,144.448633,"Science Fiction, Action, Adventure"
Jurassic World,2015,1513528810,6.5,418.708552,"Action, Adventure, Science Fiction, Thriller"
Furious 7,2015,1506249360,7.3,102.322217,Action
Avengers: Age of Ultron,2015,1405403694,7.3,134.279229,"Action, Adventure, Science Fiction"
Frozen,2013,1274219009,7.3,165.125366,"Animation, Adventure, Family"
Iron Man 3,2013,1215439994,6.8,77.68208,"Action, Adventure, Science Fiction"
Minions,2015,1156730962,6.4,875.581305,"Family, Animation, Adventure, Comedy"
Captain America: Civil War,2016,1153304495,7.1,198.372395,"Adventure, Action, Science Fiction"
Transformers: Dark of the Moon,2011,1123746996,6.1,28.529607,"Action, Science Fiction, Adventure"
The Lord of the Rings: The Return of the King,2003,1118888979,8.1,123.630332,"Adventure, Fantasy, Action"
Skyfall,2012,1108561013,6.9,93.004993,"Action, Adventure, Thriller"
Transformers: Age of Extinction,2014,1091405097,5.8,116.840296,"Science Fiction, Action, Adventure"
The Dark Knight Rises,2012,1084939099,7.6,112.31295,"Action, Crime, Drama, Thriller"
Toy Story 3,2010,1066969703,7.6,59.995418,"Animation, Family, Comedy"
Pirates of the Caribbean: Dead Man's Chest,2006,1065659812,7.0,145.847379,"Adventure, Fantasy, Action"
Pirates of the Caribbean: On Stranger Tides,2011,1045713802,6.4,135.413856,"Adventure, Action, Fantasy"
Alice in Wonderland,2010,1025491110,6.4,78.530105,"Family, Fantasy, Adventure"
The Hobbit: An Unexpected Journey,2012,1021103568,7.0,108.849621,"Adventure, Fantasy, Action"
The Dark Knight,2008,1004558444,8.2,187.322927,"Drama, Action, Crime, Thriller"
Harry Potter and the Philosopher's Stone,2001,976475550,7.5,109.984351,"Adventure, Fantasy, Family"
Despicable Me 2,2013,970761885,7.0,136.886704,"Animation, Comedy, Family"
The Jungle Book,2016,966550600,6.7,94.199316,"Family, Adventure, Drama, Fantasy"
Pirates of the Caribbean: At World's End,2007,961000000,6.9,139.082615,"Adventure, Fantasy, Action"
The Hobbit: The Desolation of Smaug,2013,958400000,7.6,94.370564,"Adventure, Fantasy"
The Hobbit: The Battle of the Five Armies,2014,956019788,7.1,120.965743,"Action, Adventure, Fantasy"
Finding Nemo,2003,940335536,7.6,85.688789,"Animation, Family"
Harry Potter and the Order of the Phoenix,2007,938212738,7.4,78.144395,"Adventure, Fantasy, Family, Mystery"
Harry Potter and the Half-Blood Prince,2009,933959197,7.4,98.885637,"Adventure, Fantasy, Family"
The Lord of the Rings: The Two Towers,2002,926287400,8.0,106.914973,"Adventure, Fantasy, Action"
Star Wars: Episode I - The Phantom Menace,1999,924317558,6.3,54.035265,"Adventure, Action, Science Fiction"
Jurassic Park,1993,920100000,7.6,40.413191,"Adventure, Science Fiction"
Shrek 2,2004,919838758,6.7,47.320801,"Adventure, Animation, Comedy, Family, Fantasy"
Harry Potter and the Goblet of Fire,2005,895921036,7.5,101.250416,"Adventure, Fantasy, Family"
Spider-Man 3,2007,890871626,5.9,115.699814,"Fantasy, Action, Adventure"
Ice Age: Dawn of the Dinosaurs,2009,886686817,6.5,69.457898,"Animation, Comedy, Family, Adventure"
Spectre,2015,880674609,6.3,107.376788,"Action, Adventure, Crime"
Ice Age: Continental Drift,2012,877244782,6.2,65.229868,"Animation, Comedy, Adventure, Family"
Harry Potter and the Chamber of Secrets,2002,876688482,7.4,132.397737,"Adventure, Fantasy, Family"
The Secret Life of Pets,2016,875958308,5.9,31.482872,"Animation, Family"
Batman v Superman: Dawn of Justice,2016,873260194,5.7,155.790452,"Action, Adventure, Fantasy"
The Lord of the Rings: The Fellowship of the Ring,2001,871368364,8.0,138.049577,"Adventure, Fantasy, Action"
Inside Out,2015,857611174,8.0,128.655964,"Drama, Comedy, Animation, Family"
Star Wars: Episode III - Revenge of the Sith,2005,850000000,7.1,44.108427,"Science Fiction, Adventure, Action"
The Hunger Games: Catching Fire,2013,847423452,7.4,76.310119,"Adventure, Action, Science Fiction"
Transformers: Revenge of the Fallen,2009,836297228,6.0,21.939663,"Science Fiction, Action, Adventure"
The Twilight Saga: Breaking Dawn - Part 2,2012,829000000,6.1,99.687084,"Adventure, Fantasy, Drama, Romance"
Inception,2010,825532764,8.1,167.58371,"Action, Thriller, Science Fiction, Mystery, Adventure"
Spider-Man,2002,821708551,6.8,82.502566,"Fantasy, Action"
